Session Number, Operation, Start Timestamp, End Timestamp, Date 1, Date 2, Days, Weeks, Months, Phrase, Result of Operation, Error
12,Add weeks to date,27-8-2020 20:35:56,27-8-2020 20:35:56,6-4-2212,N.A,N.A,324,N.A,N.A,N.A,22-6-2218,N.A
12,Add years to date,27-8-2020 20:35:56,27-8-2020 20:35:56,14-5-2543,N.A,N.A,N.A,N.A,178,N.A,14-5-2721,N.A
12,Get day of the week,27-8-2020 20:35:56,27-8-2020 20:35:56,32-2-1060,N.A,N.A,N.A,N.A,N.A,N.A,Friday,N.A
12,Subtract years from date,27-8-2020 20:35:56,27-8-2020 20:35:56,1-8-2754,N.A,N.A,N.A,N.A,96,N.A,1-8-2658,N.A
12,Get date from string,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,DAY BEFORE YESTERDAY,25-8-2020,N.A
12,Get week number,27-8-2020 20:35:56,27-8-2020 20:35:56,9-5-2240,N.A,N.A,N.A,N.A,N.A,N.A,19,N.A
12,N.A,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
12,Add weeks to date,27-8-2020 20:35:56,27-8-2020 20:35:56,2-6-1913,N.A,N.A,120,N.A,N.A,N.A,20-9-1915,N.A
12,Exit Session,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
13,Add years to date,27-8-2020 20:35:56,27-8-2020 20:35:56,1-6-1375,N.A,N.A,N.A,N.A,197,N.A,1-6-1572,N.A
13,Get day of the week,27-8-2020 20:35:56,27-8-2020 20:35:56,24-10-1632,N.A,N.A,N.A,N.A,N.A,N.A,Sunday,N.A
13,Get date from string,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,LAST WEEK,20-8-2020,N.A
13,Add years to date,27-8-2020 20:35:56,27-8-2020 20:35:56,15-4-1161,N.A,N.A,N.A,N.A,204,N.A,15-4-1365,N.A
13,Add weeks to date,27-8-2020 20:35:56,27-8-2020 20:35:56,11-2-1629,N.A,N.A,331,N.A,N.A,N.A,17-6-1635,N.A
13,Subtract years from date,27-8-2020 20:35:56,27-8-2020 20:35:56,2-13-1559,N.A,N.A,N.A,N.A,272,N.A,2-1-1288,N.A
13,Add days to date,27-8-2020 20:35:56,27-8-2020 20:35:56,10-6-2843,N.A,498,N.A,N.A,N.A,N.A,20-10-2844,N.A
13,Get date from string,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,DAY AFTER TOMORROW,29-8-2020,N.A
13,Subtact two dates,27-8-2020 20:35:56,27-8-2020 20:35:56,12-8-2246,16-3-2900,N.A,N.A,N.A,N.A,N.A,Days: 238720	Weeks: 34102	Months: 7843,N.A
13,Get date from string,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,NEXT YEAR,27-8-2021,N.A
13,Exit Session,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
14,Get date from string,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,291 WEEKS BEFORE,29-1-2015,N.A
14,Add weeks to date,27-8-2020 20:35:56,27-8-2020 20:35:56,3-6-1756,N.A,N.A,224,N.A,N.A,N.A,18-9-1760,N.A
14,Subtract days from date,27-8-2020 20:35:56,27-8-2020 20:35:56,10-13-1911,N.A,172,N.A,N.A,N.A,N.A,22-7-1911,N.A
14,Add years to date,27-8-2020 20:35:56,27-8-2020 20:35:56,21-8-1310,N.A,N.A,N.A,N.A,384,N.A,21-8-1694,N.A
14,Add two dates,27-8-2020 20:35:56,27-8-2020 20:35:56,15-9-2484,11-6-1693,N.A,N.A,N.A,N.A,N.A,26-3-4178,N.A
14,Add days to date,27-8-2020 20:35:56,27-8-2020 20:35:56,31-11-2555,N.A,31,N.A,N.A,N.A,N.A,1-1-2556,N.A
14,Add years to date,27-8-2020 20:35:56,27-8-2020 20:35:56,5-12-1366,N.A,N.A,N.A,N.A,443,N.A,5-12-1809,N.A
14,Get day of the week,27-8-2020 20:35:56,27-8-2020 20:35:56,20-5-1662,N.A,N.A,N.A,N.A,N.A,N.A,Saturday,N.A
14,Add weeks to date,27-8-2020 20:35:56,27-8-2020 20:35:56,7-6-1583,N.A,N.A,355,N.A,N.A,N.A,27-3-1590,N.A
14,Add two dates,27-8-2020 20:35:56,27-8-2020 20:35:56,32-13-1645,7-11-1607,N.A,N.A,N.A,N.A,N.A,8-1-3254,N.A
14,Exit Session,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
15,Get week number,27-8-2020 20:35:56,27-8-2020 20:35:56,23-12-1155,N.A,N.A,N.A,N.A,N.A,N.A,52,N.A
15,Get date from string,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,PREVIOUS YEAR,27-8-2019,N.A
15,N.A,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
15,Get day of the week,27-8-2020 20:35:56,27-8-2020 20:35:56,19-10-1659,N.A,N.A,N.A,N.A,N.A,N.A,Sunday,N.A
15,Get week number,27-8-2020 20:35:56,27-8-2020 20:35:56,16-10-1087,N.A,N.A,N.A,N.A,N.A,N.A,42,N.A
15,Get day of the week,27-8-2020 20:35:56,27-8-2020 20:35:56,6-2-2338,N.A,N.A,N.A,N.A,N.A,N.A,Sunday,N.A
15,Subtract days from date,27-8-2020 20:35:56,27-8-2020 20:35:56,31-6-2556,N.A,256,N.A,N.A,N.A,N.A,19-10-2555,N.A
15,Subtract weeks from date,27-8-2020 20:35:56,27-8-2020 20:35:56,13-13-2809,N.A,N.A,256,N.A,N.A,N.A,16-2-2805,N.A
15,Subtact two dates,27-8-2020 20:35:56,27-8-2020 20:35:56,13-3-2632,25-6-1237,N.A,N.A,N.A,N.A,N.A,Days: 509402	Weeks: 72771	Months: 16736,N.A
15,Get week number,27-8-2020 20:35:56,27-8-2020 20:35:56,31-9-1783,N.A,N.A,N.A,N.A,N.A,N.A,40,N.A
15,Exit Session,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
16,Get week number,27-8-2020 20:35:56,27-8-2020 20:35:56,24-10-2342,N.A,N.A,N.A,N.A,N.A,N.A,43,N.A
16,Get day of the week,27-8-2020 20:35:56,27-8-2020 20:35:56,5-7-2197,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
16,Add months to date,27-8-2020 20:35:56,27-8-2020 20:35:56,16-12-2225,N.A,N.A,N.A,365,N.A,N.A,16-5-2256,N.A
16,Get week number,27-8-2020 20:35:56,27-8-2020 20:35:56,30-3-1469,N.A,N.A,N.A,N.A,N.A,N.A,13,N.A
16,N.A,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
16,Subtract years from date,27-8-2020 20:35:56,27-8-2020 20:35:56,20-3-2872,N.A,N.A,N.A,N.A,3,N.A,20-3-2869,N.A
16,Get day of the week,27-8-2020 20:35:56,27-8-2020 20:35:56,32-8-1302,N.A,N.A,N.A,N.A,N.A,N.A,Saturday,N.A
16,Add years to date,27-8-2020 20:35:57,27-8-2020 20:35:57,24-6-2714,N.A,N.A,N.A,N.A,34,N.A,24-6-2748,N.A
16,Get week number,27-8-2020 20:35:57,27-8-2020 20:35:57,29-7-1535,N.A,N.A,N.A,N.A,N.A,N.A,31,N.A
16,Get week number,27-8-2020 20:35:57,27-8-2020 20:35:57,17-9-2833,N.A,N.A,N.A,N.A,N.A,N.A,38,N.A
16,Exit Session,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
17,Add months to date,27-8-2020 20:35:57,27-8-2020 20:35:57,16-2-1446,N.A,N.A,N.A,190,N.A,N.A,16-12-1461,N.A
17,Subtract months from date,27-8-2020 20:35:57,27-8-2020 20:35:57,30-8-1755,N.A,N.A,N.A,319,N.A,N.A,30-1-1729,N.A
17,Subtract months from date,27-8-2020 20:35:57,27-8-2020 20:35:57,32-3-2856,N.A,N.A,N.A,195,N.A,N.A,1-1-2840,N.A
17,Get day of the week,27-8-2020 20:35:57,27-8-2020 20:35:57,20-2-2915,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
17,Get date from string,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,43 DAYS FROM NOW,9-10-2020,N.A
17,Add months to date,27-8-2020 20:35:57,27-8-2020 20:35:57,15-3-2877,N.A,N.A,N.A,336,N.A,N.A,15-3-2905,N.A
17,Get day of the week,27-8-2020 20:35:57,27-8-2020 20:35:57,2-12-1228,N.A,N.A,N.A,N.A,N.A,N.A,Saturday,N.A
17,Add weeks to date,27-8-2020 20:35:57,27-8-2020 20:35:57,31-7-2826,N.A,N.A,302,N.A,N.A,N.A,14-5-2832,N.A
17,Add weeks to date,27-8-2020 20:35:57,27-8-2020 20:35:57,21-6-1489,N.A,N.A,222,N.A,N.A,N.A,22-9-1493,N.A
17,Subtract days from date,27-8-2020 20:35:57,27-8-2020 20:35:57,28-4-1904,N.A,139,N.A,N.A,N.A,N.A,11-12-1903,N.A
17,Exit Session,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
18,Subtract days from date,27-8-2020 20:35:57,27-8-2020 20:35:57,4-12-1553,N.A,332,N.A,N.A,N.A,N.A,6-1-1553,N.A
18,N.A,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
18,Get date from string,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,132 WEEKS EARLIER,15-2-2018,N.A
18,Get day of the week,27-8-2020 20:35:57,27-8-2020 20:35:57,27-6-1547,N.A,N.A,N.A,N.A,N.A,N.A,Monday,N.A
18,Subtract weeks from date,27-8-2020 20:35:57,27-8-2020 20:35:57,17-8-1371,N.A,N.A,156,N.A,N.A,N.A,20-8-1368,N.A
18,Add days to date,27-8-2020 20:35:57,27-8-2020 20:35:57,14-3-2364,N.A,451,N.A,N.A,N.A,N.A,8-6-2365,N.A
18,Add two dates,27-8-2020 20:35:57,27-8-2020 20:35:57,25-2-2557,16-11-1477,N.A,N.A,N.A,N.A,N.A,13-2-4035,N.A
18,Add weeks to date,27-8-2020 20:35:57,27-8-2020 20:35:57,17-2-1155,N.A,N.A,421,N.A,N.A,N.A,14-3-1163,N.A
18,Add days to date,27-8-2020 20:35:57,27-8-2020 20:35:57,13-13-1101,N.A,440,N.A,N.A,N.A,N.A,29-3-1103,N.A
18,N.A,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
18,Exit Session,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
19,Get day of the week,27-8-2020 20:35:57,27-8-2020 20:35:57,30-6-2088,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
19,Get day of the week,27-8-2020 20:35:57,27-8-2020 20:35:57,6-8-2179,N.A,N.A,N.A,N.A,N.A,N.A,Friday,N.A
19,Subtract days from date,27-8-2020 20:35:57,27-8-2020 20:35:57,25-7-2063,N.A,91,N.A,N.A,N.A,N.A,25-4-2063,N.A
19,Get day of the week,27-8-2020 20:35:57,27-8-2020 20:35:57,7-9-1156,N.A,N.A,N.A,N.A,N.A,N.A,Friday,N.A
19,Subtract months from date,27-8-2020 20:35:57,27-8-2020 20:35:57,24-4-1503,N.A,N.A,N.A,156,N.A,N.A,24-4-1490,N.A
19,Get week number,27-8-2020 20:35:57,27-8-2020 20:35:57,9-4-1205,N.A,N.A,N.A,N.A,N.A,N.A,15,N.A
19,Subtract days from date,27-8-2020 20:35:57,27-8-2020 20:35:57,31-7-1799,N.A,249,N.A,N.A,N.A,N.A,24-11-1798,N.A
19,Get week number,27-8-2020 20:35:57,27-8-2020 20:35:57,6-13-1823,N.A,N.A,N.A,N.A,N.A,N.A,2,N.A
19,Add days to date,27-8-2020 20:35:57,27-8-2020 20:35:57,22-3-1426,N.A,421,N.A,N.A,N.A,N.A,17-5-1427,N.A
19,Get week number,27-8-2020 20:35:57,27-8-2020 20:35:57,9-6-1535,N.A,N.A,N.A,N.A,N.A,N.A,24,N.A
19,Exit Session,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
20,Subtract days from date,27-8-2020 20:35:57,27-8-2020 20:35:57,8-1-1258,N.A,225,N.A,N.A,N.A,N.A,28-5-1257,N.A
20,Subtract years from date,27-8-2020 20:35:57,27-8-2020 20:35:57,12-3-1116,N.A,N.A,N.A,N.A,193,N.A,12-3-923,N.A
20,Subtract months from date,27-8-2020 20:35:57,27-8-2020 20:35:57,9-3-1165,N.A,N.A,N.A,158,N.A,N.A,9-1-1152,N.A
20,Add years to date,27-8-2020 20:35:57,27-8-2020 20:35:57,15-2-1990,N.A,N.A,N.A,N.A,15,N.A,15-2-2005,N.A
20,Add weeks to date,27-8-2020 20:35:57,27-8-2020 20:35:57,17-9-2874,N.A,N.A,375,N.A,N.A,N.A,24-11-2881,N.A
20,Add years to date,27-8-2020 20:35:57,27-8-2020 20:35:57,4-6-1972,N.A,N.A,N.A,N.A,315,N.A,4-6-2287,N.A
20,Subtact two dates,27-8-2020 20:35:57,27-8-2020 20:35:57,11-1-1542,27-8-1351,N.A,N.A,N.A,N.A,N.A,Days: 69535	Weeks: 9933	Months: 2284,N.A
20,N.A,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
20,Add years to date,27-8-2020 20:35:57,27-8-2020 20:35:57,17-5-2437,N.A,N.A,N.A,N.A,410,N.A,17-5-2847,N.A
20,Subtract years from date,27-8-2020 20:35:57,27-8-2020 20:35:57,3-11-1261,N.A,N.A,N.A,N.A,314,N.A,3-11-947,N.A
20,Exit Session,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
21,Add days to date,27-8-2020 20:35:57,27-8-2020 20:35:57,2-1-1688,N.A,157,N.A,N.A,N.A,N.A,7-6-1688,N.A
21,Subtract years from date,27-8-2020 20:35:57,27-8-2020 20:35:57,5-5-1067,N.A,N.A,N.A,N.A,481,N.A,5-5-586,N.A
21,Add two dates,27-8-2020 20:35:57,27-8-2020 20:35:57,11-1-2922,3-11-1356,N.A,N.A,N.A,N.A,N.A,14-12-4278,N.A
21,N.A,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
21,Get week number,27-8-2020 20:35:57,27-8-2020 20:35:57,5-11-1841,N.A,N.A,N.A,N.A,N.A,N.A,45,N.A
21,Get date from string,27-8-2020 20:35:57,27-8-2020 20:35:57,N.A,N.A,N.A,N.A,N.A,N.A,49 MONTHS FROM NOW,27-9-2024,N.A
21,Subtract years from date,27-8-2020 20:35:57,27-8-2020 20:35:57,21-6-1976,N.A,N.A,N.A,N.A,82,N.A,21-6-1894,N.A
21,Get day of the week,27-8-2020 20:35:57,27-8-2020 20:35:57,29-10-1225,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
21,Subtact two dates,27-8-2020 20:35:57,27-8-2020 20:35:57,12-8-1795,17-5-2297,N.A,N.A,N.A,N.A,N.A,Days: 183265	Weeks: 26180	Months: 6021,N.A
21,Get date from string,27-8-2020 20:35:58,27-8-2020 20:35:58,N.A,N.A,N.A,N.A,N.A,N.A,101 YEARS AFTER,27-8-2121,N.A
21,Exit Session,27-8-2020 20:35:58,27-8-2020 20:35:58,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
22,N.A,27-8-2020 20:35:58,27-8-2020 20:35:58,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
22,Get date from string,27-8-2020 20:35:58,27-8-2020 20:35:58,N.A,N.A,N.A,N.A,N.A,N.A,TODAY,27-8-2020,N.A
22,Add days to date,27-8-2020 20:35:58,27-8-2020 20:35:58,1-4-1106,N.A,216,N.A,N.A,N.A,N.A,3-11-1106,N.A
22,N.A,27-8-2020 20:35:58,27-8-2020 20:35:58,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
22,Add two dates,27-8-2020 20:35:58,27-8-2020 20:35:58,32-12-2271,31-4-1757,N.A,N.A,N.A,N.A,N.A,2-6-4029,N.A
22,Add two dates,27-8-2020 20:35:58,27-8-2020 20:35:58,25-1-2772,1-13-1972,N.A,N.A,N.A,N.A,N.A,26-2-4745,N.A
22,Add months to date,27-8-2020 20:35:58,27-8-2020 20:35:58,27-8-2467,N.A,N.A,N.A,25,N.A,N.A,27-9-2469,N.A
22,Get week number,27-8-2020 20:35:58,27-8-2020 20:35:58,11-6-1721,N.A,N.A,N.A,N.A,N.A,N.A,24,N.A
22,Add two dates,27-8-2020 20:35:58,27-8-2020 20:35:58,5-11-1490,11-8-2656,N.A,N.A,N.A,N.A,N.A,16-7-4147,N.A
22,Add two dates,27-8-2020 20:35:58,27-8-2020 20:35:58,16-6-2673,16-10-1278,N.A,N.A,N.A,N.A,N.A,2-5-3952,N.A
22,Exit Session,27-8-2020 20:35:58,27-8-2020 20:35:58,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
23,Subtract years from date,27-8-2020 20:35:58,27-8-2020 20:35:58,13-2-1065,N.A,N.A,N.A,N.A,91,N.A,13-2-974,N.A
23,N.A,27-8-2020 20:35:59,27-8-2020 20:35:59,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
23,Add years to date,27-8-2020 20:35:59,27-8-2020 20:35:59,14-12-1557,N.A,N.A,N.A,N.A,206,N.A,14-12-1763,N.A
23,Add two dates,27-8-2020 20:35:59,27-8-2020 20:35:59,29-11-1634,16-13-2121,N.A,N.A,N.A,N.A,N.A,15-1-3757,N.A
23,Add two dates,27-8-2020 20:35:59,27-8-2020 20:35:59,8-12-1133,4-4-1824,N.A,N.A,N.A,N.A,N.A,12-4-2958,N.A
23,Get day of the week,27-8-2020 20:35:59,27-8-2020 20:35:59,14-2-1903,N.A,N.A,N.A,N.A,N.A,N.A,Saturday,N.A
23,Subtract weeks from date,27-8-2020 20:35:59,27-8-2020 20:35:59,24-13-1189,N.A,N.A,366,N.A,N.A,N.A,19-1-1183,N.A
